"","fecha","sexonac","freq"
"213",2004-06-10,"M",3
"214",2004-06-15,"M",2
"215",2004-06-17,"M",1
"216",2004-06-26,"M",2
"217",2004-07-02,"M",2
"218",2004-07-03,"M",4
"219",2004-07-09,"F",4
"220",2004-07-09,"M",2
"221",2004-07-15,"F",2
"222",2004-07-15,"M",2
"223",2004-07-20,"F",2
"224",2004-07-29,"M",2
"225",2004-08-03,"M",4
"226",2004-08-08,"M",1
"227",2004-08-09,"F",2
"228",2004-08-20,"F",3
"229",2004-08-22,"M",4
"230",2004-08-23,"F",2
"231",2004-09-02,"F",2
"232",2004-09-03,"M",3
"233",2004-09-07,"F",1
"234",2004-09-11,"M",2
"235",2004-09-17,"M",2
"236",2004-09-22,"M",2
"237",2004-10-02,"M",1
"238",2004-10-03,"F",2
"239",2004-10-06,"M",1
"240",2004-10-17,"F",2
"241",2004-10-25,"F",2
"242",2004-11-07,"M",3
"243",2004-11-08,"M",1
"244",2004-11-11,"M",1
"245",2004-11-18,"M",2
"246",2004-11-19,"F",1
"247",2004-11-29,"M",1
"248",2004-12-01,"M",2
"249",2004-12-05,"M",2
"250",2004-12-07,"M",1
"251",2004-12-08,"M",4
"252",2004-12-10,"M",2
"253",2004-12-12,"M",2
"254",2004-12-15,"M",2
"255",2004-12-24,"F",4
"256",2005-01-01,"F",2
"257",2005-01-12,"F",2
"258",2005-01-15,"F",2
"259",2005-01-21,"M",2
"260",2005-01-25,"F",2
"261",2005-01-28,"M",4
"262",2005-02-10,"M",1
"263",2005-02-21,"M",2
"264",2005-02-24,"F",2
"265",2005-02-28,"F",2
"266",2005-03-03,"M",1
"267",2005-03-07,"M",2
"268",2005-03-08,"M",3
"269",2005-03-11,"M",1
"270",2005-03-15,"M",2
"271",2005-03-29,"M",4
"272",2005-04-08,"M",6
"273",2005-04-10,"M",2
"274",2005-04-11,"F",2
"275",2005-04-11,"M",2
"276",2005-04-14,"S",4
"277",2005-04-17,"M",2
"278",2005-04-23,"F",2
"279",2005-04-23,"M",2
"280",2005-04-24,"M",2
"281",2005-05-05,"M",4
"282",2005-05-06,"F",2
"283",2005-05-07,"F",2
"284",2005-05-12,"M",2
"285",2005-05-13,"F",2
"286",2005-05-13,"M",2
"287",2005-05-14,"M",1
"288",2005-05-18,"M",1
"289",2005-05-19,"M",2
"290",2005-05-24,"F",2
"291",2005-05-26,"M",2
"292",2005-05-28,"F",2
"293",2005-05-31,"M",2
"294",2005-06-01,"M",1
"295",2005-06-06,"F",4
"296",2005-06-06,"M",2
"297",2005-06-13,"M",2
"298",2005-06-15,"F",2
"299",2005-06-15,"M",2
"300",2005-06-18,"M",2
"301",2005-06-21,"F",2
"302",2005-06-25,"M",2
"303",2005-07-05,"M",2
"304",2005-07-07,"F",5
"305",2005-07-12,"M",1
"306",2005-07-17,"M",2
"307",2005-07-29,"M",2
"308",2005-08-05,"F",6
"309",2005-08-05,"M",2
"310",2005-08-11,"M",1
"311",2005-08-12,"M",2
"312",2005-08-18,"M",2
"313",2005-08-24,"F",2
"314",2005-08-25,"M",4
"315",2005-09-10,"M",2
"316",2005-09-12,"M",2
"317",2005-09-15,"F",1
"318",2005-09-16,"M",2
"319",2005-09-18,"M",2
"320",2005-09-30,"F",2
"321",2005-09-30,"M",2
"322",2005-10-01,"M",1
"323",2005-10-03,"M",2
"324",2005-10-13,"M",2
"325",2005-10-24,"M",2
"326",2005-10-26,"M",4
"327",2005-10-30,"M",2
"328",2005-11-08,"M",2
"329",2005-11-09,"F",2
"330",2005-11-10,"M",2
"331",2005-11-13,"F",2
"332",2005-11-16,"M",2
"333",2005-11-17,"M",1
"334",2005-11-29,"M",2
"335",2005-11-30,"M",2
"336",2005-12-01,"M",3
"337",2005-12-05,"M",2
"338",2005-12-07,"M",1
"339",2005-12-08,"M",4
"340",2005-12-09,"M",2
"341",2005-12-17,"M",2
"342",2005-12-29,"F",2
"343",2006-01-04,"M",1
"344",2006-01-12,"M",2
"345",2006-01-15,"M",4
"346",2006-01-19,"M",2
"347",2006-01-25,"M",2
"348",2006-02-07,"M",2
"349",2006-02-12,"F",2
"350",2006-02-17,"M",4
"351",2006-03-05,"M",2
"352",2006-03-06,"F",4
"353",2006-03-10,"M",3
"354",2006-03-12,"M",2
"355",2006-03-15,"F",2
"356",2006-03-15,"M",3
"357",2006-03-20,"F",2
"358",2006-03-21,"M",1
"359",2006-03-22,"F",6
"360",2006-03-24,"M",1
"361",2006-03-25,"F",2
"362",2006-03-25,"M",2
"363",2006-03-27,"F",4
"364",2006-04-01,"F",2
"365",2006-04-01,"M",2
"366",2006-04-05,"M",4
"367",2006-04-10,"F",2
"368",2006-04-12,"M",2
"369",2006-04-14,"M",4
"370",2006-04-18,"F",2
"371",2006-04-18,"M",2
"372",2006-04-23,"M",2
"373",2006-04-27,"F",2
"374",2006-04-30,"M",2
"375",2006-05-06,"M",2
"376",2006-05-16,"F",2
"377",2006-05-18,"F",2
"378",2006-05-28,"M",1
"379",2006-05-30,"F",2
"380",2006-06-01,"M",2
"381",2006-06-03,"M",2
"382",2006-06-12,"F",2
"383",2006-06-13,"F",2
"384",2006-06-15,"F",1
"385",2006-06-18,"M",2
"386",2006-06-21,"F",2
"387",2006-06-24,"M",2
"388",2006-07-11,"F",2
"389",2006-07-13,"M",2
"390",2006-07-19,"M",1
"391",2006-07-20,"M",2
"392",2006-08-07,"F",1
"393",2006-08-08,"M",2
"394",2006-08-12,"M",1
"395",2006-08-16,"M",1
"396",2006-08-21,"M",2
"397",2006-09-13,"M",2
"398",2006-10-02,"M",1
"399",2006-10-18,"F",1
"400",2006-11-03,"M",2
"401",2006-11-04,"M",2
"402",2006-11-09,"F",1
"403",2006-11-09,"M",2
"404",2006-11-14,"M",2
"405",2006-12-13,"F",2
"406",2006-12-13,"M",8
"407",2006-12-26,"M",2
"408",2007-01-14,"M",2
"409",2007-01-17,"F",2
"410",2007-01-17,"S",2
"411",2007-01-28,"M",6
"412",2007-01-30,"F",2
"413",2007-01-30,"M",2
"414",2007-02-02,"M",2
"415",2007-02-09,"F",2
"416",2007-02-09,"M",6
"417",2007-02-13,"M",1
"418",2007-02-15,"F",2
"419",2007-02-15,"M",2
"420",2007-02-25,"M",4
"421",2007-02-28,"M",2
"422",2007-03-08,"F",2
"423",2007-03-09,"M",2
"424",2007-03-10,"M",6
"425",2007-03-20,"F",4
"426",2007-03-20,"M",10
"427",2007-03-23,"F",2
"428",2007-03-23,"M",2
"429",2007-03-27,"M",2
"430",2007-04-02,"M",4
"431",2007-04-12,"M",2
"432",2007-04-16,"M",2
"433",2007-04-19,"M",2
"434",2007-04-23,"F",4
"435",2007-05-01,"M",2
"436",2007-05-07,"M",2
"437",2007-05-08,"M",2
"438",2007-05-09,"M",2
"439",2007-05-13,"F",2
"440",2007-05-14,"M",2
"441",2007-05-19,"M",2
"442",2007-06-02,"F",2
"443",2007-06-02,"M",2
"444",2007-06-06,"F",6
"445",2007-06-06,"M",10
"446",2007-06-08,"F",2
"447",2007-06-08,"M",2
"448",2007-06-09,"M",4
"449",2007-06-21,"F",2
"450",2007-06-29,"M",2
"451",2007-06-30,"M",2
"452",2007-07-13,"M",4
"453",2007-07-31,"M",2
"454",2007-08-01,"M",4
"455",2007-08-10,"M",4
"456",2007-08-11,"M",4
"457",2007-08-12,"M",2
"458",2007-08-17,"M",2
"459",2007-08-30,"F",2
"460",2007-08-31,"M",2
"461",2007-09-01,"M",1
"462",2007-09-07,"F",2
"463",2007-09-11,"M",4
"464",2007-09-12,"F",2
"465",2007-09-12,"M",2
"466",2007-09-15,"F",4
"467",2007-09-16,"F",2
"468",2007-09-16,"M",2
"469",2007-09-17,"F",2
"470",2007-09-18,"M",4
"471",2007-10-19,"M",6
"472",2007-10-23,"M",2
"473",2007-11-04,"F",4
"474",2007-11-04,"M",2
"475",2007-11-07,"F",1
"476",2007-11-11,"F",2
"477",2007-11-26,"F",2
"478",2007-11-29,"M",2
"479",2007-12-04,"M",2
"480",2007-12-07,"M",4
"481",2007-12-12,"M",1
"482",2007-12-23,"F",2
"483",2007-12-31,"M",2
"484",2008-01-04,"F",2
"485",2008-01-07,"M",1
"486",2008-01-16,"F",2
"487",2008-01-21,"F",2
"488",2008-01-21,"M",5
"489",2008-01-22,"M",2
"490",2008-01-23,"F",2
"491",2008-01-26,"F",1
"492",2008-01-29,"M",2
"493",2008-01-30,"M",2
"494",2008-02-09,"M",2
"495",2008-02-11,"F",1
"496",2008-02-12,"M",2
"497",2008-02-14,"M",2
"498",2008-02-16,"M",1
"499",2008-02-17,"M",4
"500",2008-03-02,"F",2
"501",2008-03-09,"F",2
"502",2008-03-09,"M",2
"503",2008-03-11,"F",4
"504",2008-03-11,"M",4
"505",2008-03-12,"F",8
"506",2008-03-12,"M",2
"507",2008-03-19,"M",4
"508",2008-03-26,"F",1
"509",2008-03-26,"M",2
"510",2008-03-28,"M",2
"511",2008-03-31,"M",2
"512",2008-04-01,"M",8
"513",2008-04-02,"F",4
"514",2008-04-05,"M",3
"515",2008-04-16,"M",1
"516",2008-04-19,"F",2
"517",2008-04-19,"M",14
"518",2008-04-22,"F",9
"519",2008-04-22,"M",24
"520",2008-04-23,"F",2
"521",2008-04-23,"M",6
"522",2008-04-29,"M",4
"523",2008-05-01,"M",2
"524",2008-05-02,"M",31
"525",2008-05-07,"M",5
"526",2008-05-08,"M",3
"527",2008-05-10,"M",1
